team,attack_index,defense_index,xg_for,xg_against,form_points_last5,home_advantage,tournament
Arsenal,1.712,0.769,1.626,0.738,11.743,0.18,EPL
Manchester City,1.22,0.889,1.159,0.854,8.02,0.18,EPL
Liverpool,1.42,1.205,1.349,1.157,6.556,0.18,EPL
Tottenham Hotspur,1.379,1.131,1.31,1.086,6.58,0.18,EPL
Chelsea,1.789,0.904,1.7,0.868,11.085,0.18,EPL
Manchester United,1.741,1.162,1.654,1.116,9.622,0.18,EPL
Newcastle United,1.914,1.317,1.818,1.264,10.843,0.18,EPL
Aston Villa,1.27,0.755,1.206,0.724,10.378,0.18,EPL
Barcelona,1.538,1.314,1.461,1.262,9.217,0.18,UCL
Real Madrid,1.224,1.239,1.163,1.189,11.839,0.18,UCL
Atletico Madrid,1.375,0.988,1.306,0.949,8.271,0.18,UCL
Bayern Munich,1.604,0.859,1.524,0.824,9.312,0.18,UCL
