match_id,match_date,tournament,team_a,team_b,venue,batting_team,bowling_team,target_score,actual_first_innings_score,target_team_a_score,target_team_b_score,target_winner_team_a,team_a_avg_runs_last_5,team_a_avg_runs_last_10,team_a_avg_wickets_last_5,team_a_run_rate_trend,team_b_avg_runs_last_5,team_b_avg_runs_last_10,team_b_avg_wickets_last_5,team_b_run_rate_trend,team_a_win_rate_vs_b,avg_score_team_a_vs_b,avg_score_team_b_vs_a,venue_avg_score,venue_chase_success_rate,venue_defend_bias,team_a_runs_vs_opponent_avg,team_b_runs_vs_opponent_avg,batting_first,team_a_bats_first,team_b_bats_first,team_a_chase_success_rate,team_b_chase_success_rate,team_a_defend_success_rate,team_b_defend_success_rate,chase_defend_edge_team_a_first,chase_defend_edge_team_b_first,venue_batting_first_advantage,recent_form_diff,recent_run_rate_diff,head_to_head_win_diff,wickets_taken_diff
sample_20200920_0000,2020-09-20,IPL,Royal Challengers Bengaluru,Delhi Capitals,M Chinnaswamy Stadium,Delhi Capitals,Royal Challengers Bengaluru,180.0,180.0,192.0,180.0,1.0,170.70357142857142,170.70357142857142,7.0,0.0,170.70357142857142,170.70357142857142,7.0,0.0,0.5,170.70357142857142,170.70357142857142,170.70357142857142,0.5,-0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample_20200921_0001,2020-09-21,IPL,Rajasthan Royals,Sunrisers Hyderabad,Narendra Modi Stadium,Rajasthan Royals,Sunrisers Hyderabad,190.0,190.0,190.0,168.0,1.0,170.70357142857142,170.70357142857142,7.0,0.0,170.70357142857142,170.70357142857142,7.0,0.0,0.5,170.70357142857142,170.70357142857142,170.70357142857142,0.5,-0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample_20200922_0002,2020-09-22,IPL,Chennai Super Kings,Royal Challengers Bengaluru,Narendra Modi Stadium,Chennai Super Kings,Royal Challengers Bengaluru,186.0,186.0,186.0,227.0,0.0,170.70357142857142,170.70357142857142,7.0,0.0,192.0,192.0,3.0,0.0,0.5,170.70357142857142,170.70357142857142,179.0,0.0,-1.0,-9.296428571428578,21.296428571428578,1.0,1.0,0.0,0.5,1.0,0.5,0.5,0.5,0.0,1.0,-21.296428571428578,0.0,0.0,-1.0
sample_20200923_0003,2020-09-23,IPL,Gujarat Titans,Sunrisers Hyderabad,MA Chidambaram Stadium,Gujarat Titans,Sunrisers Hyderabad,131.0,131.0,131.0,142.0,0.0,170.70357142857142,170.70357142857142,7.0,0.0,168.0,168.0,4.0,0.0,0.5,170.70357142857142,170.70357142857142,170.70357142857142,0.5,-0.0,-19.296428571428578,-2.703571428571422,1.0,1.0,0.0,0.5,0.0,0.5,0.5,-0.5,0.0,0.0,2.703571428571422,0.0,0.0,1.0
sample_20200924_0004,2020-09-24,IPL,Punjab Kings,Chennai Super Kings,Wankhede Stadium,Punjab Kings,Chennai Super Kings,180.0,180.0,180.0,161.0,1.0,170.70357142857142,170.70357142857142,7.0,0.0,186.0,186.0,10.0,0.0,0.5,170.70357142857142,170.70357142857142,170.70357142857142,0.5,-0.0,-56.29642857142858,15.296428571428578,1.0,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,-15.296428571428578,0.0,0.0,0.0
sample_20200925_0005,2020-09-25,IPL,Lucknow Super Giants,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,Lucknow Super Giants,178.0,178.0,145.0,178.0,0.0,170.70357142857142,170.70357142857142,7.0,0.0,190.0,190.0,6.0,0.0,0.5,170.70357142857142,170.70357142857142,170.70357142857142,0.5,-0.0,2.703571428571422,19.296428571428578,0.0,0.0,1.0,0.5,0.5,0.5,1.0,0.0,-0.5,0.0,-19.296428571428578,0.0,0.0,3.0
sample_20200926_0006,2020-09-26,IPL,Kolkata Knight Riders,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bengaluru,161.0,161.0,161.0,154.0,1.0,170.70357142857142,170.70357142857142,7.0,0.0,209.5,209.5,5.0,0.0,0.5,170.70357142857142,170.70357142857142,186.0,1.0,1.0,-12.296428571428578,38.79642857142858,1.0,1.0,0.0,0.5,1.0,0.5,0.5,0.5,0.0,-1.0,-38.79642857142858,0.0,0.0,-2.0
sample_20200927_0007,2020-09-27,IPL,Lucknow Super Giants,Royal Challengers Bengaluru,MA Chidambaram Stadium,Royal Challengers Bengaluru,Lucknow Super Giants,147.0,147.0,148.0,147.0,1.0,145.0,145.0,5.0,0.0,191.0,191.0,5.666666666666667,0.0,0.5,170.70357142857142,170.70357142857142,136.5,1.0,1.0,-30.666666666666657,13.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.5,0.5,0.16666666666666663,-0.5,-1.0,-46.0,0.0,0.0,0.3333333333333339
sample_20200928_0008,2020-09-28,IPL,Chennai Super Kings,Kolkata Knight Riders,MA Chidambaram Stadium,Kolkata Knight Riders,Chennai Super Kings,164.0,164.0,167.0,164.0,1.0,173.5,173.5,9.5,0.0,161.0,161.0,8.0,0.0,0.5,170.70357142857142,170.70357142857142,142.0,1.0,1.0,19.5,-42.5,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.5,-1.0,-1.0,12.5,0.0,0.0,-1.0
sample_20200929_0009,2020-09-29,IPL,Lucknow Super Giants,Royal Challengers Bengaluru,Arun Jaitley Stadium,Royal Challengers Bengaluru,Lucknow Super Giants,136.0,136.0,137.0,136.0,1.0,146.5,146.5,7.0,0.0,180.0,180.0,6.75,0.0,1.0,148.0,147.0,161.5,0.0,-1.0,-22.25,17.5,0.0,0.0,1.0,0.5,0.6666666666666666,0.5,0.0,0.16666666666666663,0.5,1.0,-33.5,0.0,1.0,0.75
