match_id,match_date,tournament,team_a,team_b,venue,winner,toss_winner,toss_decision,first_innings_team,first_innings_total,first_innings_wickets,second_innings_team,second_innings_total,second_innings_wickets
sample_20200920_0000,2020-09-20,IPL,Royal Challengers Bengaluru,Delhi Capitals,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Delhi Capitals,bat,Delhi Capitals,180,8,Royal Challengers Bengaluru,192,3
sample_20200921_0001,2020-09-21,IPL,Rajasthan Royals,Sunrisers Hyderabad,Narendra Modi Stadium,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,190,6,Sunrisers Hyderabad,168,4
sample_20200922_0002,2020-09-22,IPL,Chennai Super Kings,Royal Challengers Bengaluru,Narendra Modi Stadium,Royal Challengers Bengaluru,Chennai Super Kings,bat,Chennai Super Kings,186,10,Royal Challengers Bengaluru,227,7
sample_20200923_0003,2020-09-23,IPL,Gujarat Titans,Sunrisers Hyderabad,MA Chidambaram Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Gujarat Titans,131,6,Sunrisers Hyderabad,142,4
sample_20200924_0004,2020-09-24,IPL,Punjab Kings,Chennai Super Kings,Wankhede Stadium,Punjab Kings,Punjab Kings,bat,Punjab Kings,180,5,Chennai Super Kings,161,9
sample_20200925_0005,2020-09-25,IPL,Lucknow Super Giants,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,178,9,Lucknow Super Giants,145,5
sample_20200926_0006,2020-09-26,IPL,Kolkata Knight Riders,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,161,8,Royal Challengers Bengaluru,154,7
sample_20200927_0007,2020-09-27,IPL,Lucknow Super Giants,Royal Challengers Bengaluru,MA Chidambaram Stadium,Lucknow Super Giants,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,147,10,Lucknow Super Giants,148,9
sample_20200928_0008,2020-09-28,IPL,Chennai Super Kings,Kolkata Knight Riders,MA Chidambaram Stadium,Chennai Super Kings,Chennai Super Kings,field,Kolkata Knight Riders,164,7,Chennai Super Kings,167,7
sample_20200929_0009,2020-09-29,IPL,Lucknow Super Giants,Royal Challengers Bengaluru,Arun Jaitley Stadium,Lucknow Super Giants,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,136,8,Lucknow Super Giants,137,5
sample_20200930_0010,2020-09-30,IPL,Sunrisers Hyderabad,Chennai Super Kings,MA Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,156,5,Chennai Super Kings,165,9
sample_20201001_0011,2020-10-01,IPL,Chennai Super Kings,Kolkata Knight Riders,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,field,Chennai Super Kings,195,8,Kolkata Knight Riders,179,8
sample_20201002_0012,2020-10-02,IPL,Punjab Kings,Royal Challengers Bengaluru,MA Chidambaram Stadium,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,120,3,Punjab Kings,118,6
sample_20201003_0013,2020-10-03,IPL,Gujarat Titans,Chennai Super Kings,Arun Jaitley Stadium,Gujarat Titans,Gujarat Titans,field,Chennai Super Kings,168,6,Gujarat Titans,181,5
sample_20201004_0014,2020-10-04,IPL,Delhi Capitals,Royal Challengers Bengaluru,Arun Jaitley Stadium,Delhi Capitals,Royal Challengers Bengaluru,field,Delhi Capitals,187,4,Royal Challengers Bengaluru,181,5
sample_20201005_0015,2020-10-05,IPL,Sunrisers Hyderabad,Rajasthan Royals,MA Chidambaram Stadium,Sunrisers Hyderabad,Rajasthan Royals,field,Sunrisers Hyderabad,170,5,Rajasthan Royals,167,8
