team,player,matches_played,avg_runs,recent_runs,total_runs,total_balls,avg_wickets,recent_wickets,total_runs_conceded,total_balls_bowled,win_rate,last_match_date,strike_rate,economy,batting_form,bowling_form,impact_score
Chennai Super Kings,Devon Conway,22,38.143181818181816,51.438,839.15,605.75,1.0413636363636363,1.762,588.66,490.86,0.6818181818181818,2021-01-31,138.5307470078415,7.195452878621195,41.465488883052565,42.061824849151584,41.70402326949217
Chennai Super Kings,Ruturaj Gaikwad,22,31.468181818181815,41.118,692.3,492.12,1.455909090909091,2.122,808.06,509.02,0.6818181818181818,2021-01-31,140.6770706331789,9.524890966956113,33.81381792836928,46.38909090909091,38.84392712065793
Chennai Super Kings,Shivam Dube,22,28.312727272727273,34.342,622.88,479.48,1.7827272727272727,2.102,778.03,534.9,0.6818181818181818,2021-01-31,129.9073996829899,8.727201346045991,29.005760677855555,49.35727272727273,37.146365497622426
Chennai Super Kings,Ravindra Jadeja,22,24.571818181818184,16.238000000000003,540.58,421.5,1.6718181818181819,1.528,738.04,573.86,0.6818181818181818,2021-01-31,128.25148279952552,7.7165859268811205,17.905588989539524,42.77183811065734,27.852088637986654
Chennai Super Kings,Ajinkya Rahane,22,27.685454545454547,17.125999999999998,609.08,450.49,1.2204545454545455,0.392,762.6,495.61,0.6818181818181818,2021-01-31,135.20388909853716,9.232259236092895,19.41498497736808,18.084545454545456,18.882809168239028
Chennai Super Kings,MS Dhoni,22,23.998636363636365,29.913999999999998,527.97,474.11,0.0,0.0,0.0,0.0,0.6818181818181818,2021-01-31,111.3602328573538,8.2,25.04429381980783,1.2000000000000028,15.506576291884699
Delhi Capitals,Prithvi Shaw,25,32.251999999999995,27.640000000000004,806.3,544.61,1.7619999999999998,2.44,948.42,599.73,0.4,2021-02-06,148.05089880832153,9.488469811415136,26.72823623510402,54.22,37.72494174106241
Delhi Capitals,Jake Fraser-McGurk,25,31.9588,44.71,798.97,617.75,1.274,0.9200000000000002,926.77,642.62,0.4,2021-02-06,129.33549170376367,8.653045345616382,35.79483364629704,26.540000000000003,32.09290018777823
Delhi Capitals,Rishabh Pant,25,26.104,33.55800000000001,652.6,493.99,1.33,1.322,916.92,600.66,0.4,2021-02-06,132.10793740763984,9.159124962541204,27.939449217595502,33.13,30.015669530557304
Delhi Capitals,Tristan Stubbs,25,27.1508,38.318,678.77,509.88,1.1188,0.6759999999999999,964.03,654.27,0.4,2021-02-06,133.12348003451794,8.84066211197212,30.884183500431476,21.328,27.061710100258885
Delhi Capitals,David Warner,25,26.114,14.392000000000001,652.85,468.38,1.2884,1.466,871.88,613.27,0.4,2021-02-06,139.38468764678254,8.530141699414614,17.49210859558478,34.873999999999995,24.44486515735087
Delhi Capitals,Axar Patel,25,33.565599999999996,20.246,839.14,631.09,0.0,0.0,0.0,0.0,0.4,2021-02-06,132.96677177581643,8.2,22.867064647197704,1.2000000000000028,14.200238788318623
Gujarat Titans,Rahul Tewatia,27,35.09888888888889,31.272000000000002,947.67,709.8,1.0948148148148147,1.6019999999999999,866.82,667.43,0.6296296296296297,2021-02-06,133.51225697379542,7.792457636006773,29.39816987883911,37.80831760412105,32.76222896895189
Gujarat Titans,Sai Sudharsan,27,21.652962962962963,28.474,584.63,456.03,1.3866666666666665,2.0439999999999996,934.64,616.06,0.6296296296296297,2021-02-06,128.19989912944325,9.102749732168945,23.75908762800693,44.52666666666666,32.06611924347082
Gujarat Titans,David Miller,27,35.23111111111111,34.879999999999995,951.24,806.16,1.4485185185185185,0.974,921.42,609.6,0.6296296296296297,2021-02-06,117.99642750818697,9.069094488188975,31.228288677185667,29.095185185185187,30.375047280385477
Gujarat Titans,Shubman Gill,27,33.74703703703704,27.552,911.1700000000001,683.73,1.1885185185185188,0.74,957.7,664.3199999999999,0.6296296296296297,2021-02-06,133.2645927485996,8.649747109826592,26.943518520468604,22.985185185185188,25.36018518635524
Gujarat Titans,Wriddhiman Saha,27,25.75703703703704,24.909999999999997,695.44,519.88,1.3388888888888888,0.782,903.91,659.55,0.6296296296296297,2021-02-06,133.76933138416558,8.22297020695929,23.09972775341318,26.227008061051727,24.3506398764686
Gujarat Titans,Rashid Khan,27,25.601481481481482,25.97,691.24,556.79,0.0,0.0,0.0,0.0,0.6296296296296297,2021-02-06,124.14734460029815,8.2,23.51578625194817,1.2000000000000028,14.589471751168903
