match_id,match_date,team,opponent,venue,player,runs,balls,wickets,balls_bowled,runs_conceded,is_winner
sample_20200920_0000,2020-09-20,Royal Challengers Bengaluru,Delhi Capitals,M Chinnaswamy Stadium,Virat Kohli,40.3,36.85,1.61,29.27,37.9,1
sample_20200920_0000,2020-09-20,Royal Challengers Bengaluru,Delhi Capitals,M Chinnaswamy Stadium,Faf du Plessis,36.95,23.28,2.81,31.34,36.85,1
sample_20200920_0000,2020-09-20,Royal Challengers Bengaluru,Delhi Capitals,M Chinnaswamy Stadium,Glenn Maxwell,81.8,82.46,0.57,27.19,42.05,1
sample_20200920_0000,2020-09-20,Royal Challengers Bengaluru,Delhi Capitals,M Chinnaswamy Stadium,Rajat Patidar,3.77,3.04,2.27,36.85,34.34,1
sample_20200920_0000,2020-09-20,Royal Challengers Bengaluru,Delhi Capitals,M Chinnaswamy Stadium,Cameron Green,25.92,21.2,0.02,27.7,49.69,1
sample_20200920_0000,2020-09-20,Royal Challengers Bengaluru,Delhi Capitals,M Chinnaswamy Stadium,Dinesh Karthik,1.43,1.18,0.0,0.0,0.0,1
sample_20200920_0000,2020-09-20,Delhi Capitals,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Rishabh Pant,14.41,12.66,0.12,28.07,36.68,0
sample_20200920_0000,2020-09-20,Delhi Capitals,Royal Challengers Bengaluru,M Chinnaswamy Stadium,David Warner,30.97,32.98,1.05,15.26,32.8,0
sample_20200920_0000,2020-09-20,Delhi Capitals,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Prithvi Shaw,8.19,6.24,0.83,22.35,50.95,0
sample_20200920_0000,2020-09-20,Delhi Capitals,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Jake Fraser-McGurk,41.78,41.27,1.14,13.9,32.65,0
sample_20200920_0000,2020-09-20,Delhi Capitals,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Tristan Stubbs,47.83,27.65,0.39,28.27,43.93,0
sample_20200920_0000,2020-09-20,Delhi Capitals,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Axar Patel,35.38,36.44,0.0,0.0,0.0,0
sample_20200921_0001,2020-09-21,Rajasthan Royals,Sunrisers Hyderabad,Narendra Modi Stadium,Sanju Samson,0.0,1.0,2.27,26.92,33.31,1
sample_20200921_0001,2020-09-21,Rajasthan Royals,Sunrisers Hyderabad,Narendra Modi Stadium,Yashasvi Jaiswal,24.34,22.03,0.72,26.68,44.65,1
sample_20200921_0001,2020-09-21,Rajasthan Royals,Sunrisers Hyderabad,Narendra Modi Stadium,Jos Buttler,66.68,57.46,0.14,23.52,21.13,1
sample_20200921_0001,2020-09-21,Rajasthan Royals,Sunrisers Hyderabad,Narendra Modi Stadium,Riyan Parag,15.78,16.24,0.0,18.02,42.0,1
sample_20200921_0001,2020-09-21,Rajasthan Royals,Sunrisers Hyderabad,Narendra Modi Stadium,Shimron Hetmyer,52.35,47.19,0.12,31.8,34.44,1
sample_20200921_0001,2020-09-21,Rajasthan Royals,Sunrisers Hyderabad,Narendra Modi Stadium,Ravichandran Ashwin,22.73,22.94,0.0,0.0,0.0,1
sample_20200921_0001,2020-09-21,Sunrisers Hyderabad,Rajasthan Royals,Narendra Modi Stadium,Pat Cummins,41.21,35.83,0.48,24.13,49.62,0
sample_20200921_0001,2020-09-21,Sunrisers Hyderabad,Rajasthan Royals,Narendra Modi Stadium,Travis Head,14.47,9.83,0.97,25.08,35.8,0
sample_20200921_0001,2020-09-21,Sunrisers Hyderabad,Rajasthan Royals,Narendra Modi Stadium,Abhishek Sharma,14.33,11.66,0.8,26.14,48.23,0
sample_20200921_0001,2020-09-21,Sunrisers Hyderabad,Rajasthan Royals,Narendra Modi Stadium,Aiden Markram,82.28,66.72,0.71,18.44,29.7,0
sample_20200921_0001,2020-09-21,Sunrisers Hyderabad,Rajasthan Royals,Narendra Modi Stadium,Heinrich Klaasen,0.19,1.0,3.05,22.67,18.89,0
sample_20200921_0001,2020-09-21,Sunrisers Hyderabad,Rajasthan Royals,Narendra Modi Stadium,Nitish Kumar Reddy,3.56,3.12,0.0,0.0,0.0,0
sample_20200922_0002,2020-09-22,Chennai Super Kings,Royal Challengers Bengaluru,Narendra Modi Stadium,Ruturaj Gaikwad,17.17,13.04,0.0,23.68,54.88,0
sample_20200922_0002,2020-09-22,Chennai Super Kings,Royal Challengers Bengaluru,Narendra Modi Stadium,Devon Conway,40.67,35.59,1.66,21.0,25.35,0
sample_20200922_0002,2020-09-22,Chennai Super Kings,Royal Challengers Bengaluru,Narendra Modi Stadium,Ajinkya Rahane,23.35,13.48,1.95,36.77,28.99,0
sample_20200922_0002,2020-09-22,Chennai Super Kings,Royal Challengers Bengaluru,Narendra Modi Stadium,Shivam Dube,42.19,27.77,0.23,29.59,41.05,0
sample_20200922_0002,2020-09-22,Chennai Super Kings,Royal Challengers Bengaluru,Narendra Modi Stadium,Ravindra Jadeja,23.71,21.6,2.93,20.07,41.66,0
sample_20200922_0002,2020-09-22,Chennai Super Kings,Royal Challengers Bengaluru,Narendra Modi Stadium,MS Dhoni,29.77,24.98,0.0,0.0,0.0,0
sample_20200922_0002,2020-09-22,Royal Challengers Bengaluru,Chennai Super Kings,Narendra Modi Stadium,Virat Kohli,38.82,24.39,2.75,15.79,61.91,1
sample_20200922_0002,2020-09-22,Royal Challengers Bengaluru,Chennai Super Kings,Narendra Modi Stadium,Faf du Plessis,54.15,56.98,3.85,21.7,60.01,1
sample_20200922_0002,2020-09-22,Royal Challengers Bengaluru,Chennai Super Kings,Narendra Modi Stadium,Glenn Maxwell,27.27,16.63,0.65,27.86,41.45,1
sample_20200922_0002,2020-09-22,Royal Challengers Bengaluru,Chennai Super Kings,Narendra Modi Stadium,Rajat Patidar,39.56,24.35,0.08,26.03,59.47,1
sample_20200922_0002,2020-09-22,Royal Challengers Bengaluru,Chennai Super Kings,Narendra Modi Stadium,Cameron Green,34.33,27.22,2.13,11.7,44.91,1
sample_20200922_0002,2020-09-22,Royal Challengers Bengaluru,Chennai Super Kings,Narendra Modi Stadium,Dinesh Karthik,33.03,34.42,0.0,0.0,0.0,1
sample_20200923_0003,2020-09-23,Gujarat Titans,Sunrisers Hyderabad,MA Chidambaram Stadium,Shubman Gill,14.36,8.47,1.1,17.49,27.1,0
sample_20200923_0003,2020-09-23,Gujarat Titans,Sunrisers Hyderabad,MA Chidambaram Stadium,Wriddhiman Saha,13.36,9.03,1.69,35.26,17.67,0
sample_20200923_0003,2020-09-23,Gujarat Titans,Sunrisers Hyderabad,MA Chidambaram Stadium,Sai Sudharsan,8.3,8.07,0.41,20.46,29.36,0
sample_20200923_0003,2020-09-23,Gujarat Titans,Sunrisers Hyderabad,MA Chidambaram Stadium,David Miller,43.86,42.76,0.92,20.08,4.73,0
sample_20200923_0003,2020-09-23,Gujarat Titans,Sunrisers Hyderabad,MA Chidambaram Stadium,Rahul Tewatia,23.64,15.05,0.0,20.82,17.43,0
