team,avg_runs_scored,avg_wickets_lost,avg_runs_conceded,avg_wickets_taken,win_rate,batting_strength_index,bowling_strength_index,matches_played
Chennai Super Kings,173.0909090909091,6.363636363636363,170.0,6.7272727272727275,0.6818181818181818,36.419333333333334,32.67687036737988,22
Delhi Capitals,176.52,6.28,179.08,6.72,0.4,33.7408888888889,31.375122217512562,25
Gujarat Titans,174.40740740740742,5.518518518518518,167.44444444444446,6.481481481481482,0.6296296296296297,35.39822222222222,32.640145489756186,27
Kolkata Knight Riders,168.53333333333333,6.266666666666667,170.06666666666666,6.566666666666666,0.5333333333333333,31.40755555555555,31.159012510201435,31
Lucknow Super Giants,164.36666666666667,6.6,166.0,6.8,0.5,31.694888888888887,27.635689016289767,31
Mumbai Indians,175.16666666666666,6.611111111111111,174.16666666666666,6.0,0.4444444444444444,34.944444444444436,25.986666666666668,18
Punjab Kings,166.2,6.92,167.6,6.24,0.4,33.06466666666667,30.91555555555555,25
Rajasthan Royals,170.27586206896552,6.310344827586207,168.86206896551724,5.482758620689655,0.5517241379310345,33.98022222222222,27.2431284510639,29
Royal Challengers Bengaluru,167.2,6.3,168.2,6.666666666666667,0.4666666666666667,34.33577777777777,35.97077333979307,38
Sunrisers Hyderabad,179.3,6.9,181.33333333333334,5.533333333333333,0.43333333333333335,34.00311111111111,27.116462396426737,34
